Engine_ID,Cycle,Altitude,Mach_Number,Throttle_Resolver_Angle,T24_LPC_Outlet_Temp,P30_HPC_Outlet_Pressure,Nf_Fan_Speed,Nc_Core_Speed,BPR_Bypass_Ratio
TF-201,1,-0.0006,-0.0004,100.03,641.11,47.462,9025.3,2388.042,8.415
TF-201,2,-0.0005,-0.0005,100.03,641.25,47.446,9025.0,2388.067,8.419
TF-201,3,-0.0005,-0.0004,99.96,641.27,47.44,9025.3,2388.042,8.423
TF-201,4,-0.0006,-0.0005,100.01,641.13,47.449,9023.5,2388.036,8.417
TF-201,5,-0.0007,-0.0005,99.97,641.11,47.47,9025.4,2388.038,8.425
TF-201,6,-0.0007,-0.0005,100.0,641.24,47.467,9026.5,2388.041,8.425
TF-201,7,-0.0007,-0.0004,100.0,641.19,47.444,9026.9,2388.069,8.424
TF-201,8,-0.0007,-0.0004,100.04,641.13,47.453,9025.8,2388.07,8.423
TF-201,9,-0.0006,-0.0005,99.98,641.15,47.45,9026.2,2388.07,8.416
TF-201,10,-0.0008,-0.0005,100.04,641.26,47.472,9027.0,2388.038,8.421
TF-201,11,-0.0007,-0.0004,100.02,641.28,47.449,9023.8,2388.057,8.418
TF-201,12,-0.0006,-0.0004,100.02,641.19,47.445,9024.6,2388.039,8.418
TF-201,13,-0.0007,-0.0004,100.02,641.25,47.473,9026.6,2388.053,8.419
TF-201,14,-0.0005,-0.0005,99.99,641.16,47.463,9026.7,2388.052,8.421
TF-201,15,-0.0008,-0.0005,100.02,641.28,47.469,9027.2,2388.038,8.418
TF-201,16,-0.0006,-0.0004,100.0,641.28,47.476,9025.8,2388.061,8.419
TF-201,17,-0.0006,-0.0004,100.01,641.25,47.47,9026.5,2388.036,8.419
TF-201,18,-0.0008,-0.0003,100.02,641.17,47.474,9027.0,2388.069,8.419
TF-201,19,-0.0005,-0.0005,99.97,641.26,47.449,9026.9,2388.039,8.418
TF-201,20,-0.0006,-0.0003,100.03,641.3,47.486,9025.4,2388.047,8.424
TF-201,21,-0.0006,-0.0004,100.02,641.28,47.459,9024.1,2388.054,8.426
TF-201,22,-0.0006,-0.0005,99.96,641.26,47.474,9026.5,2388.044,8.422
TF-201,23,-0.0006,-0.0005,99.97,641.23,47.462,9027.6,2388.042,8.421
TF-201,24,-0.0006,-0.0005,100.02,641.15,47.49,9024.4,2388.041,8.423
TF-201,25,-0.0006,-0.0004,100.0,641.32,47.474,9025.8,2388.047,8.421
TF-201,26,-0.0008,-0.0004,100.03,641.29,47.482,9027.7,2388.07,8.427
TF-201,27,-0.0009,-0.0004,100.01,641.24,47.483,9028.0,2388.041,8.421
TF-201,28,-0.0005,-0.0004,99.99,641.33,47.459,9024.6,2388.04,8.428
TF-201,29,-0.0009,-0.0004,100.04,641.23,47.459,9025.8,2388.039,8.424
TF-201,30,-0.0007,-0.0004,100.03,641.34,47.479,9026.0,2388.073,8.427
TF-201,31,-0.0006,-0.0004,100.0,641.35,47.472,9025.4,2388.04,8.422
TF-201,32,-0.0007,-0.0005,99.98,641.25,47.501,9028.1,2388.041,8.422
TF-201,33,-0.0006,-0.0004,100.02,641.34,47.476,9027.1,2388.062,8.419
TF-201,34,-0.0006,-0.0005,99.97,641.19,47.472,9028.1,2388.071,8.421
TF-201,35,-0.0005,-0.0005,99.97,641.26,47.466,9026.0,2388.06,8.426
TF-201,36,-0.0006,-0.0003,100.0,641.34,47.494,9027.5,2388.049,8.424
TF-201,37,-0.0006,-0.0004,100.04,641.27,47.476,9024.9,2388.048,8.425
TF-201,38,-0.0007,-0.0004,99.99,641.33,47.48,9028.4,2388.049,8.427
TF-201,39,-0.0007,-0.0005,100.05,641.25,47.497,9025.2,2388.076,8.42
TF-201,40,-0.0005,-0.0005,99.98,641.27,47.498,9027.4,2388.049,8.42
TF-201,41,-0.0009,-0.0005,100.03,641.21,47.503,9025.7,2388.045,8.424
TF-201,42,-0.0006,-0.0003,100.0,641.24,47.488,9028.5,2388.07,8.423
TF-201,43,-0.0006,-0.0004,100.03,641.24,47.489,9027.2,2388.045,8.426
TF-201,44,-0.0006,-0.0003,100.02,641.31,47.496,9027.3,2388.077,8.42
TF-201,45,-0.0005,-0.0004,99.95,641.23,47.495,9027.0,2388.061,8.425
TF-201,46,-0.0009,-0.0003,99.99,641.22,47.484,9027.7,2388.052,8.425
TF-201,47,-0.0005,-0.0004,100.01,641.25,47.505,9027.7,2388.055,8.423
TF-201,48,-0.0006,-0.0004,100.03,641.39,47.489,9026.2,2388.054,8.425
TF-201,49,-0.0008,-0.0004,100.0,641.23,47.509,9028.0,2388.043,8.426
TF-201,50,-0.0006,-0.0005,99.97,641.34,47.488,9025.7,2388.044,8.425
