Engine_ID,Cycle,Altitude,Mach_Number,Throttle_Resolver_Angle,T24_LPC_Outlet_Temp,P30_HPC_Outlet_Pressure,Nf_Fan_Speed,Nc_Core_Speed,BPR_Bypass_Ratio
TF-804,1,-0.0002032858469887673,-0.000335183206121041,99.9858462925795,641.8575739275518,47.47388936801742,9032.89116045665,2388.0281301496725,8.41510907565598
TF-804,2,-0.0008382643011711846,-0.0004770164560832633,99.99579354677235,641.8919672314245,47.490039226318416,9054.178619470547,2388.0391945687943,8.428753562169495
TF-804,3,-5.231146189930752e-05,-0.0005353844000611917,99.99657285483474,641.7579962917631,47.522152562158766,9065.721561970126,2388.081418808154,8.42457659623202
TF-804,4,0.0008230298564080254,-0.0002776647422318264,99.99197722730779,641.9148380545741,47.52669010260175,9054.324652605512,2388.0803111079636,8.416400614700365
TF-804,5,-0.000934153374723336,-0.0001938000955008098,99.99838714288335,641.9439608709948,47.41111653160215,9028.30630034046,2388.064372952181,8.419809837920972
TF-804,6,-0.0009341369569491806,-0.0002137439761767603,100.00404050856814,641.812847287296,47.43910874800425,9038.157659271337,2388.0715198214994,8.411974706353622
TF-804,7,0.0008792128155073914,-0.0005678435046445277,100.0188618590121,642.2198661766716,47.51775176336044,9055.169111491867,2388.109329946874,8.423814868640076
TF-804,8,6.743472915290885e-05,-0.00046184247517024296,100.00174577812832,642.0310749381367,47.523689297545616,9034.923305343813,2388.056252858335,8.423113413610798
TF-804,9,-0.0011694743859349522,-0.0003337473137192872,100.00257550390722,641.8013044754196,47.52975238431531,9045.938194281462,2388.093412921435,8.431227185603381
TF-804,10,-0.0001574399564140353,-0.00020489097457552816,99.99925554084234,642.098483041295,47.70263657453274,9048.746340534293,2388.0739342204274,8.421727690564477
TF-804,11,-0.0011634176928124623,-0.000495834847569058,99.98081228784702,641.8737977494659,47.54454452553466,9031.23069528422,2388.076469563903,8.437193465142412
TF-804,12,-0.0011657297535702569,-0.00043713179533276346,99.99973486124551,642.1580626905613,47.57877828200903,9039.404746439383,2388.1189633055596,8.449327389130024
TF-804,13,-0.0004580377284339659,-0.0006212669948012057,100.00060230209941,642.233789336851,47.57570008817466,9007.087326599309,2388.11376249047,8.434912398515431
TF-804,14,-0.002613280244657798,-0.0006392413248161342,100.02463242112485,641.9568976522472,47.5665695625653,9028.756123586658,2388.11640528908,8.44201711722099
TF-804,15,-0.002424917832513033,-0.0002374948355211604,99.99807639035218,642.2445064193865,47.52423653776799,9035.974318486069,2388.134164364215,8.446901439917111
TF-804,16,-0.0012622875292409726,-0.00012875199428583544,100.00301547342333,642.1819171390405,47.58394846102466,9025.522168180352,2388.098630115249,8.437987795281142
TF-804,17,-0.001712831120334424,-0.0004144020243160668,99.99965288230295,642.2633090239991,47.51335873927312,9053.824113039316,2388.121458589139,8.446240924818104
TF-804,18,-0.0003857526674047261,-0.00019929342042159518,99.9883132196238,642.444518947398,47.546159069663,9022.698586220393,2388.0946919973026,8.446125924007818
TF-804,19,-0.0016080240755212108,-0.0003276727949904732,100.01142822814515,642.1431917825995,47.539731822608545,9032.09955513303,2388.1167249905748,8.448976760985488
TF-804,20,-0.0021123037013352913,-0.0005290239509210249,100.00751933032687,642.0869395753463,47.574093706969315,9037.30740577286,2388.106095708369,8.442269902161444
TF-804,21,0.000765648768921554,-0.00032772087889831723,100.00791031947043,642.0865728355561,47.69173292833368,9049.912732890662,2388.11590987895,8.452245101742589
TF-804,22,-0.0009257763004865356,-9.239268670680617e-05,99.99090612545206,642.1176284572551,47.48863674037041,9020.641378488206,2388.133854710763,8.458979982912455
TF-804,23,-0.0006324717953120762,-0.0004071652078219903,100.01402794310935,642.2484347435878,47.62231300951873,9046.13163752155,2388.094453379503,8.47051143607795
TF-804,24,-0.0021247481862134566,-8.707126883719874e-05,99.98598148937208,642.3311727962225,47.51336420644052,9034.102330610196,2388.184771618271,8.467592708260852
TF-804,25,-0.0012443827245251825,-0.000923949020817949,100.005868570938,642.3415036198994,47.57640340671053,9023.68491348952,2388.094819478555,8.481531824575116
TF-804,26,-0.0005890774102901339,-0.00023561949912495524,100.0219045562581,642.4440774873553,47.66044752984837,9037.621034742633,2388.0915743416167,8.454326524371119
TF-804,27,-0.0018509935774223027,-0.0003825905863523658,99.9900946367487,642.3419502837816,47.61521400095477,9034.490596955735,2388.1657433262053,8.472723206367208
TF-804,28,-0.000324301981654328,-0.0004598014700931735,99.99433702270397,642.5780301115735,47.56411276110354,9025.997831228413,2388.1577498808188,8.467833420057383
TF-804,29,-0.001300638689918805,-0.00038164784469289954,100.00099651365088,642.3403014750143,47.588234814537,9032.1980208499,2388.1557235945115,8.489898029332176
TF-804,30,-0.0009916937497932768,-0.0007975137829201786,99.99496524345884,642.8080253749885,47.663979887446736,9027.146864031383,2388.1588503652783,8.46191701714645
TF-804,31,-0.001301706612229397,-0.00044393437756750243,99.98449336568933,642.5138501021647,47.59948166841414,9031.635173452512,2388.1426325968146,8.463602781578192
TF-804,32,0.0011522781845089377,-0.00032857748569765075,100.00068562974806,642.3114263665375,47.6528229294791,9036.62130674521,2388.1190823688557,8.46800607354556
